batch_id,num_drones,alignment,vision_mode,gradient_map,num_runs,success_rate_percent,completion_time_mean,completion_time_std,completion_time_median,finish_line_x,avg_final_x
batch_02.22.2026_08.28.20,5,ON,normal,sine_curve_thick001_freq2,2,100.0,162.8,8.34,162.8,18.67,18.57
batch_02.22.2026_08.29.21,5,ON,normal,sine_curve_thick1_freq2,2,0.0,,,,18.67,
batch_02.22.2026_08.30.43,5,ON,normal,sine_curve_thick000001_freq2,2,100.0,166.95,3.64,166.95,18.67,18.57
batch_02.22.2026_08.31.50,5,ON,normal,sine_curve_thick001_freq4,2,100.0,181.74,9.8,181.74,18.67,18.57
batch_02.22.2026_08.33.13,5,ON,normal,sine_curve_thick1_freq4,2,0.0,,,,18.67,
batch_02.22.2026_08.34.47,5,ON,normal,sine_curve_thick000001_freq4,2,100.0,184.58,0.17,184.58,18.67,18.57
batch_02.22.2026_08.35.56,5,ON,normal,sine_curve_thick001_freq8,2,0.0,,,,18.67,
batch_02.22.2026_08.37.33,5,ON,normal,sine_curve_thick1_freq8,2,0.0,,,,18.67,
batch_02.22.2026_08.39.05,5,ON,normal,sine_curve_thick000001_freq8,2,100.0,228.8,13.78,228.8,18.67,18.57
batch_02.22.2026_08.40.22,5,ON,anisotropic,sine_curve_thick001_freq2,2,100.0,192.59,36.64,192.59,18.67,18.57
batch_02.22.2026_08.41.47,5,ON,anisotropic,sine_curve_thick1_freq2,2,100.0,148.34,3.22,148.34,18.67,18.57
batch_02.22.2026_08.42.49,5,ON,anisotropic,sine_curve_thick000001_freq2,2,100.0,152.43,1.14,152.43,18.67,18.57
batch_02.22.2026_08.43.51,5,ON,anisotropic,sine_curve_thick001_freq4,2,100.0,171.74,3.32,171.74,18.67,18.57
batch_02.22.2026_08.44.58,5,ON,anisotropic,sine_curve_thick1_freq4,2,100.0,183.01,10.53,183.01,18.67,18.57
batch_02.22.2026_08.46.14,5,ON,anisotropic,sine_curve_thick000001_freq4,2,50.0,157.92,,157.92,18.67,18.57
batch_02.22.2026_08.47.37,5,ON,anisotropic,sine_curve_thick001_freq8,2,100.0,154.38,5.77,154.38,18.67,18.57
batch_02.22.2026_08.48.41,5,ON,anisotropic,sine_curve_thick1_freq8,2,50.0,267.1,,267.1,18.67,18.57
batch_02.22.2026_08.50.17,5,ON,anisotropic,sine_curve_thick000001_freq8,2,100.0,172.96,25.85,172.96,18.67,18.57
batch_02.22.2026_08.51.23,5,ON,pursuit_evasion,sine_curve_thick001_freq2,2,0.0,,,,18.67,
batch_02.22.2026_08.52.51,5,ON,pursuit_evasion,sine_curve_thick1_freq2,2,0.0,,,,18.67,
batch_02.22.2026_08.54.17,5,ON,pursuit_evasion,sine_curve_thick000001_freq2,2,50.0,245.5,,245.5,18.67,18.57
batch_02.22.2026_08.55.44,5,ON,pursuit_evasion,sine_curve_thick001_freq4,2,0.0,,,,18.67,
batch_02.22.2026_08.57.12,5,ON,pursuit_evasion,sine_curve_thick1_freq4,2,0.0,,,,18.67,
batch_02.22.2026_08.58.48,5,ON,pursuit_evasion,sine_curve_thick000001_freq4,2,0.0,,,,18.67,
